// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

//evento apollo
1907,S_EMPEL_1,Guardian Stone,Guardian Stone,999,450,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,70713376,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,S_EMPEL_2,Guardian Stone,Guardian Stone,999,450,0,0,0,1,0,0,0,0,1,17,1,80,126,20,10,12,2,0,89,70713376,300,1288,288,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// ----------------------- Mini World Boss -----------------------
1305,Haku,Haku,Haku,999,200000000,1,100000,500,2,60000,60000,50,50,700,200,50,1000,600,200,12,12,2,7,80,0x6203695,150,523,360,360,2500,0,0,0,0,0,0,753,500,7017,5000,3056,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// ----------------------- Fild Konoha -----------------------

// pay_fild07 Rank E
1007,Lagarta,Lagarta,Lagarta,10,100,0,100,5,1,50,100,0,10,50,30,20,50,50,1,10,12,0,2,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,543,10000,569,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,SAVAGE_BABE,Filhote de Javali,Filhote de Javali,10,100,0,110,5,1,50,100,0,10,50,30,20,50,50,1,10,12,0,2,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,547,10000,507,10000,1202,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,A_LUNATIC,Filhote de Coelho,Filhote de Coelho,10,100,0,120,5,1,50,100,0,10,50,30,20,50,50,1,10,12,0,2,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,506,10000,518,10000,2101,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,ARVORE_MORTA,Árvore Morta,Árvore Morta,10,100,0,130,5,1,50,100,0,10,50,30,20,50,50,1,10,12,0,2,20,0x281,200,500,1500,768,0,0,0,0,0,0,0,532,10000,597,10000,3028,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// mjolnir_08 Rank E
1166,SAVAGE,Javali,Javali,100,2000,0,2000,10,1,800,1000,10,20,50,30,50,50,50,1,10,12,1,4,20,0x281,200,500,1500,768,0,0,0,0,0,0,0,600,10000,635,5000,3022,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1056,SMOKIE,Guaxinim,Guaxinim,130,4000,0,2200,10,1,900,1100,10,20,50,30,50,50,50,1,10,12,1,2,20,0x281,200,500,1500,768,0,0,0,0,0,0,0,565,10000,622,1000,3016,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,LEAF_CAT,Gato do Mato,Gato do Mato,160,6000,0,2400,10,1,1000,1200,10,20,50,30,50,50,50,1,10,12,1,4,20,0x281,200,500,1500,768,0,0,0,0,0,0,0,689,5000,698,5000,709,1000,710,1000,3010,1000,0,0,0,0,0,0,0,0,0,0
// Mini-Boss
1861,E_CHOCO,Macaco,Macaco,200,900000,0,20000,50,1,2000,3000,40,60,800,30,120,800,250,400,10,12,1,2,20,0x6203695,200,500,1500,768,0,0,0,0,0,0,0,505,10000,642,10000,562,10000,5000,30,0,0,0,0,0,0,0,0,0,0,0,0

// mjolnir_01 Rank D
1018,CREAMY,Borboleta,Borboleta,200,10000,0,5000,20,1,2000,3000,18,28,250,100,50,200,200,5,10,12,1,4,20,0x281,200,500,1500,864,0,0,0,0,0,0,0,550,10000,512,10000,521,7000,3005,800,0,0,0,0,0,0,0,0,0,0,0,0
1100,ARGOS,Argos,Argos,230,12000,0,5200,25,1,3000,4000,18,28,250,100,50,200,200,5,10,12,1,2,20,0x281,200,500,1500,864,0,0,0,0,0,0,0,598,5000,610,10000,540,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,FLORA,Planta Carnívora,Planta Carnívora,250,14000,0,5400,30,9,3500,4500,18,28,250,100,50,200,200,5,10,12,1,4,20,0x84,200,500,1500,864,0,0,0,0,0,0,0,604,10000,624,100,535,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747,G_SNAKE,Serpente,Serpente,280,16000,0,5600,35,1,4000,5000,18,28,250,100,50,200,200,5,10,12,1,2,20,0x281,200,500,1500,864,0,0,0,0,0,0,0,552,10000,557,10000,556,5000,573,5000,3000,800,0,0,0,0,0,0,0,0,0,0

// mjolnir_10 Rank D
1139,MANTIS,Mantis,Mantis,310,20000,0,8000,40,1,5000,6000,20,30,250,100,50,200,100,10,10,12,1,4,20,0x285,200,500,1500,864,0,0,0,0,0,0,0,603,10000,585,10000,3023,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,WILD_ROSE,Gato Selvagem,Gato Selvagem,340,25000,0,8200,45,1,6000,7000,20,30,250,100,50,200,100,10,10,12,1,2,20,0x281,200,500,1500,864,0,0,0,0,0,0,0,547,10000,530,10000,650,10000,3017,800,0,0,0,0,0,0,0,0,0,0,0,0
1303,GIANT_HONET,Zangão,Zangão,360,30000,0,8400,50,1,6500,7500,20,30,250,100,50,200,100,10,10,12,1,3,20,0x281,200,500,1500,864,0,0,0,0,0,0,0,508,10000,509,10000,559,10000,3011,800,0,0,0,0,0,0,0,0,0,0,0,0
2073,TOUCAN,Tucano,Tucano,380,35000,0,8600,55,1,7000,8000,20,30,250,100,50,200,100,10,10,12,1,2,20,0x285,200,500,1500,864,0,0,0,0,0,0,0,545,10000,544,10000,3029,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
// Mini-Boss
1294,KILLER_MANTIS,Mantis Assassino,Mantis Assassino,400,2500000,0,90000,90,1,12000,15000,40,60,800,100,210,800,250,400,10,12,1,2,20,0x6203695,200,500,1500,864,0,0,0,0,0,0,0,603,10000,563,10000,524,5000,626,1000,0,0,0,0,0,0,0,0,0,0,0,0

// mjolnir_05 Rank C
1216,PENOMENA,Planta Venenosa,Planta Venenosa,400,120000,0,10000,70,9,12000,15000,25,32,300,100,100,300,200,20,10,12,1,3,20,0x84,200,500,1500,500,0,0,0,0,0,0,0,580,10000,558,10000,0,0,0,0,0,0,0,0,0,0,0,0,1305,10000,0,0
1687,GREEN_IGUANA,Grove,Grove,450,130000,0,12000,75,1,13000,16000,25,32,300,100,100,300,200,20,10,12,1,3,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,533,10000,722,10000,3001,600,0,0,0,0,0,0,0,0,0,0,1305,10000,0,0
1387,GIG,Escorpião,Escorpião,500,140000,0,13000,80,1,14000,17000,25,32,300,100,100,300,200,20,10,12,1,9,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,611,10000,534,10000,563,10000,0,0,0,0,0,0,0,0,0,0,1305,10000,0,0
1024,WORM_TAIL,Rabo de Verme,Rabo de Verme,550,150000,0,15000,85,1,15000,18000,25,32,300,100,100,300,200,20,10,12,1,4,20,0x285,200,500,1500,500,0,0,0,0,0,0,0,536,10000,643,10000,585,10000,0,0,0,0,0,0,0,0,0,0,1305,10000,0,0

// gef_fild02 Rank C
1622,TEDDY_BEAR,Urso Filhote,Urso Filhote,400,120000,0,10000,70,1,12000,15000,25,32,300,100,100,300,200,20,10,12,1,3,20,0x285,200,500,1500,500,0,0,0,0,0,0,0,508,10000,568,10000,547,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,G_BIGFOOT,Urso,Urso,500,140000,0,13000,80,1,14000,17000,25,32,300,100,100,300,200,20,10,12,1,9,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,568,10000,547,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,ARGIOPE,Centopéia Vermelha,Centopéia Vermelha,550,150000,0,15000,85,1,15000,18000,25,32,300,100,100,300,200,20,10,12,1,4,20,0x1485,200,500,1500,500,0,0,0,0,0,0,0,610,10000,541,10000,555,10000,3006,600,0,0,0,0,0,0,0,0,0,0,0,0

// cmd_fild01 Rank C
1243,SASQUATCH,Urso Albino,Urso Albino,500,140000,0,10000,70,1,14000,17000,25,32,300,100,100,300,200,20,10,12,1,9,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,568,10000,547,10000,569,10000,0,0,0,0,0,0,0,0,0,0,1304,10000,0,0
1417,ZIPPER_BEAR,Urso Pardo,Urso Pardo,500,140000,0,13000,75,1,14000,17000,25,32,300,100,100,300,200,20,10,12,1,9,20,0x285,200,500,1500,500,0,0,0,0,0,0,0,568,10000,676,10000,680,10000,3024,600,0,0,0,0,0,0,0,0,1304,10000,0,0
1232,Grizlly,Urso Vermelho,Urso Vermelho,550,150000,0,15000,80,1,15000,18000,25,32,300,100,100,300,200,20,10,12,1,4,20,0x285,200,500,1500,500,0,0,0,0,0,0,0,568,10000,547,10000,508,10000,0,0,0,0,0,0,0,0,0,0,1304,10000,0,0
//Mini-Boss
1306,LEIB_OLMAI,Urso Raivoso,Urso Raivoso,600,3000000,0,50000,130,1,30000,35000,40,60,800,100,300,800,300,400,10,12,1,4,20,0x6203695,200,500,1500,500,0,0,0,0,0,0,0,507,10000,568,10000,547,10000,5001,30,754,2000,0,0,0,0,0,0,1304,10000,0,0

// gef_fild03 Rank B
1215,STEM_WORM,Talo de Verme,Talo de Verme,600,300000,0,17000,100,1,20000,25000,30,40,300,150,300,300,200,30,10,12,1,2,20,0x3085,200,500,1500,384,0,0,0,0,0,0,0,536,10000,643,10000,585,10000,3025,200,0,0,0,0,0,0,0,0,0,0,0,0
1866,HELL_POODLE,Cão Demónio,Cão Demónio,680,325000,0,18000,120,1,23000,28000,30,40,300,150,300,300,200,30,10,12,1,1,20,0x3085,200,500,1500,384,0,0,0,0,0,0,0,547,10000,554,10000,515,5000,577,10000,3007,200,0,0,0,0,0,0,0,0,0,0
2015,PINGUICULA_D,Flor Tóxica,Flor Tóxica,720,350000,0,19000,140,5,25000,30000,30,40,300,150,300,300,200,30,10,12,1,3,20,0x3085,200,500,1500,384,0,0,0,0,0,0,0,684,10000,630,10000,689,10000,3002,200,0,0,0,0,0,0,0,0,0,0,0,0

// gef_fild10 Rank B
1405,TENGU,Tengu,Tengu,600,300000,0,20000,100,1,20000,17000,30,40,300,150,300,300,200,30,10,12,1,2,20,0x281,200,500,1500,384,0,0,0,0,0,0,0,675,10000,674,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,SPORE,Esporo,Esporo,680,325000,0,20000,120,1,23000,18000,30,40,300,150,300,300,200,30,10,12,1,1,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,549,10000,646,10000,528,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,POISON_SPORE,Esporo Venenoso,Esporo Venenoso,720,350000,0,17000,140,5,25000,30000,30,40,300,150,300,300,200,30,10,12,1,3,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,549,10000,646,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

// mjolnir_11 Rank B
1495,STONE_SHOOTER,Árvore Assassina,Árvore Assassina,600,300000,0,17000,100,1,20000,25000,30,40,300,150,300,300,200,30,10,12,1,2,20,0x281,200,500,1500,384,0,0,0,0,0,0,0,692,10000,691,10000,597,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,WOOTAN_FIGHTER,Gorila,Gorila,680,325000,0,18000,120,1,23000,28000,30,40,300,150,300,300,200,30,10,12,1,1,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,687,10000,507,10000,689,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,WOOTAN_SHOOTER,Orangotango,Orangotango,720,350000,0,19000,140,5,25000,30000,30,40,300,150,300,300,200,30,10,12,1,3,20,0x281,200,500,1500,384,0,0,0,0,0,0,0,686,10000,507,10000,690,10000,649,10000,0,0,0,0,0,0,0,0,0,0,0,0
1773,HODREMLIN,Demônio Farejador,Demônio Farejador,720,350000,0,18000,140,5,25000,30000,30,40,300,150,300,300,200,30,10,12,1,3,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,706,10000,558,10000,712,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//Boss
1991,TENDRILRION,Espírito da Floresta,Espírito da Floresta,800,8500000,0,50000,300,1,40000,60000,55,60,1000,300,300,1000,300,400,10,12,1,3,20,0x6203695,200,500,1500,384,0,0,0,0,0,0,0,629,10000,688,10000,729,5000,900,300,1308,10000,0,0,0,0,0,0,0,0,0,0

// um_fild03 Rank B
1415,BABY_LEOPARD,Leopardo Filhote,Leopardo Filhote,600,300000,0,16000,100,1,20000,25000,30,40,300,150,300,300,250,30,10,12,1,2,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,682,10000,683,10000,507,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,JAGUAR,Leopardo,Leopardo,680,325000,0,17000,120,1,23000,28000,30,40,300,150,300,300,250,30,10,12,1,1,20,0x281,200,500,1500,500,0,0,0,0,0,0,0,682,10000,683,10000,507,10000,547,10000,0,0,0,0,0,0,0,0,0,0,0,0
1517,LI_ME_MANG_RYANG,Onça,Onça,720,350000,0,18000,140,5,25000,30000,30,40,300,150,300,300,250,30,10,12,1,3,20,0x285,200,500,1500,500,0,0,0,0,0,0,0,547,10000,694,10000,695,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//
1115,EDDGA,Tigre,Tigre,800,8500000,0,50000,300,5,25000,30000,55,60,300,200,300,300,200,20,10,12,1,3,20,0x6283695,500,500,1500,500,10,0,0,0,0,0,0,602,10000,601,3000,5013,30,900,300,0,0,0,0,0,0,0,0,0,0,0,0

// moc_fild03 Rank A
1497,WOODEN_GOLEM,Golem de Madeira,Golem de Madeira,800,450000,0,21000,200,1,40000,50000,40,50,300,200,150,300,300,50,10,12,1,6,20,0x281,200,500,1500,384,0,0,0,0,0,0,0,685,10000,691,10000,620,3000,537,5000,0,0,0,0,0,0,0,0,1318,10000,0,0
1042,STEEL_CHONCHON,Varejeira,Varejeira,875,480000,0,21000,250,1,42000,52000,40,50,300,200,150,300,300,50,10,12,1,2,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,511,10000,555,10000,574,10000,0,0,0,0,0,0,0,0,0,0,1318,10000,0,0
1022,WEREWOLF,Lobo,Lobo,950,500000,0,22000,300,1,46000,56000,40,50,300,200,150,300,300,50,10,12,1,2,20,0x285,200,500,1500,384,0,0,0,0,0,0,0,636,3000,547,10000,548,10000,3003,50,0,0,0,0,0,0,0,0,1318,10000,0,0
//Boss
